线路编码,线路名称,设备编码,内部编码,车牌号
60001,1001路,059L3352,W7B-105,沪D-82920
60001,1001路,059L2612,W7B-104,沪D-82142
60001,1001路,059L2722,W7B-106,沪D-82453
60001,1001路,059L2636,W7B-107,沪D-82247
60001,1001路,059L2739,W7B-108,沪D-82939
60001,1001路,059L2603,W7B-109,沪D-82909
60002,1002路,050A0016,S7A-011,沪B-L1345
60002,1002路,059L2765,W7B-110,沪D-82910
60002,1002路,050G0040,S7A-009,沪B-L1147
60002,1002路,050K0254,S7A-010,沪B-L1217
60002,1002路,059L0759,W7B-084,沪D-68950
60002,1002路,050H0909,S7A-013,沪B-L1041
60002,1002路,050A0010,S7A-003,沪B-L1149
60003,1003路,559L2798,W7B-122,沪D-80451
60003,1003路,559L3346,W7C-041,沪D-E0938
60003,1003路,559L2655,W7B-119,沪D-82447
60003,1003路,559L3230,W7B-120,沪D-94128
60003,1003路,559L2523,W7B-121,沪D-73741
60003,1003路,550E0370,W9B-039,沪B-R2223
60015,1004路,220E0149,S7A-033,沪B-Q3458
60015,1004路,220E0332,S7A-032,沪B-Q3448
60016,1005路,220E0626,S7A-034,沪B-Q3406
60016,1005路,220E0151,S7A-035,沪B-L4451
60016,1005路,220Z0018,S7A-036,沪B-Q3429
60017,1006路,220E0043,S7A-037,沪B-L4140
60017,1006路,220E0407,S7A-038,沪B-Q1437
60017,1006路,229L3402,W7C-067,沪D-E4745
60008,1007路,550H0212,W7A-092,沪B-T4303
60008,1007路,550L0045,W7D-001,沪D-01599
60008,1007路,550A0020,W7C-053,沪D-G0220
60008,1007路,559L0881,W7C-051,沪D-G0212
60008,1007路,559L0252,W7C-052,沪D-G0046
60008,1007路,550E0214,W7A-016,沪B-R9516
60009,1008路,559L3268,W7C-039,沪D-E0996
60009,1008路,559L3250,W7C-038,沪D-E0981
60009,1008路,559L2429,W7C-037,沪D-E1000
60019,1009路,269L0879,W7B-061,沪D-66413
60019,1009路,269L0908,W9D-082,沪D-75849
60019,1009路,269L3130,W7B-062,沪D-66446
20061,1010路,220L0012,W7A-079,沪B-T4280
60018,1010路,050E0134,S7A-026,沪B-Q3426
20061,1010路,220E0727,W7A-024,沪B-R9698
20061,1010路,220A0178,W7A-078,沪B-T4240
60020,1011路,050E0075,S7A-041,沪A-Q5560
60020,1011路,050E0137,S7A-043,沪A-Q5497
60020,1011路,050E0146,S7A-039,沪A-Q5247
60020,1011路,050E0175,S7A-040,沪A-Q5548
60020,1011路,050E0764,S7A-042,沪A-Q5590
60021,1012路,550E0649,S7A-051,沪B-Q5467
60021,1012路,550E0094,S7A-052,沪B-Q5608
60021,1012路,550E0066,S7A-054,沪B-Q5617
60021,1012路,550E0297,S7A-053,沪B-Q5462
60028,1013路,550E0227,S7A-058,沪B-Q5611
60028,1013路,550E0746,W7A-011,沪B-R0116
60028,1013路,550E0348,W7A-012,沪B-R0163
60028,1013路,550E0869,S7A-055,沪B-Q5637
20013,1015路,229L2157,Z9B-030,沪B-29439
20013,1015路,229L0683,W9A-141,沪B-81546
20013,1015路,229L0875,W9A-018,沪B-49980
20012,1017路,229L2013,W7B-103,沪D-82588
20012,1017路,229L1219,W7B-035,沪D-39350
60029,1018路,559L2033,W7B-116,沪D-94022
60029,1018路,559L2634,W9A-294,沪B-70045
60029,1018路,559L2250,W9A-295,沪B-67847
60029,1018路,559L2665,W9A-293,沪B-70146
60024,1019路,059L2359,W7B-011,沪D-50522
60024,1019路,059L3219,W7B-014,沪D-48147
60024,1019路,050E0034,S7B-003,沪B-R7828
60024,1019路,059L0571,W7B-010,沪D-48485
60024,1019路,059L3177,W7B-012,沪D-48245
60024,1019路,059L1720,W7B-009,沪D-50510
60022,1020路,050E0579,S7A-044,沪B-Q5488
60030,1021路,559L3337,W7C-035,沪D-E0997
60030,1021路,550H0198,S7A-017,沪BL1380
60030,1021路,550E0829,W7A-015,沪B-R9459
60030,1021路,550E0221,W7A-013,沪B-R9526
60030,1021路,550E0513,W7A-014,沪B-R9529
60031,1022路,550E0347,S7A-025,沪B-Q3413
60031,1022路,559L1225,W7C-047,沪D-G0112
60031,1022路,559L1795,W7C-046,沪D-G0223
60025,1023路,050J0631,S7B-002,沪B-R7833
60025,1023路,050J0586,S7B-001,沪B-R7802
60026,1024路,050E0333,S7A-029,沪B-Q3461
60026,1024路,050E0006,S7A-027,沪B-Q3438
60026,1024路,050E0702,S7A-028,沪B-Q3241
60026,1024路,050E0131,S7A-031,沪B-Q3466
60026,1024路,050E0117,S7A-030,沪B-Q1415
60032,1025路,550H0289,W7B-002,沪D-01585
60032,1025路,550E0179,S7A-056,沪B-Q5626
60032,1025路,550E0088,S7A-057,沪B-Q5633
60032,1025路,550K0221,W7B-001,沪D-01571
20014,1026路,220E0681,W7A-027,沪B-R9683
20014,1026路,220H0042,W7A-077,沪B-T4273
20014,1026路,220E0607,W7A-028,沪B-R9702
20014,1026路,220E0496,W7A-031,沪B-R9681
20014,1026路,220K0197,W7A-073,沪B-T4251
20015,1027路,220G0100,W7A-080,沪B-T4320
20015,1027路,220E0722,S7B-009,沪B-R7822
20015,1027路,220E0148,S7B-008,沪B-R7835
20016,1028路,220E0409,S7B-013,沪B-R7837
20016,1028路,220E0439,S7B-011,沪B-R7791
20016,1028路,220E0250,S7B-012,沪B-R7836
60034,1029路,050E0698,S7B-005,沪B-R7643
60034,1029路,050E0301,S7B-006,沪B-R7821
60034,1029路,050E0489,S7B-004,沪B-R7823
60035,1030路,550E0387,G7A-001,沪B-R7471
60035,1030路,550E0183,S7A-049,沪B-Q5530
60035,1030路,550E0238,S7A-050,沪B-Q5142
60035,1030路,559L1324,W0A-080,沪B-27247
60035,1030路,550E0613,G7A-002,沪B-R7517
20060,1031路,229L1038,Z9B-027,沪B-29658
20060,1031路,229L1257,Z9B-029,沪B-29622
20060,1031路,229L2362,Z9B-028,沪B-29665
20019,1032路,229L2893,W9E-002,沪D-A3708
20019,1032路,229L1762,W9E-001,沪D-A3717
20019,1032路,229L1297,W9E-003,沪D-A3672
20019,1032路,220A0140,W9A-165,沪B-86042
20019,1032路,220E0516,W9B-111,沪B-R7096
20019,1032路,220E0039,W9A-164,沪B-85402
20020,1033路,220E0338,S7A-063,沪B-Q5640
20020,1033路,220E0165,S7A-062,沪B-Q5615
20020,1033路,220E0055,S7A-064,沪B-Q5613
60043,1034路,559L1516,W9A-318,沪B-70195
60043,1034路,559L2265,W9A-314,沪B-70191
60043,1034路,559L2502,W0A-035,沪B-17808
60043,1034路,559L2248,W9A-316,沪B-70136
60043,1034路,559L2750,W9A-299,沪B-67793
60043,1034路,559L2363,W9A-300,沪B-67790
60043,1034路,559L2567,W9A-315,沪B-70192
12146,1035路,260E0588,W7A-035,沪B-R9565
12111,1036路,260E0627,W7A-037,沪B-R9475
12111,1036路,260E0593,W7A-036,沪B-R9470
12105,1037路,260L0114,J7A-026,沪B-90142
12105,1037路,260J0770,J7A-033,沪B-90143
12117,1038路,260E0752,S9C-003,沪BT8127
12117,1038路,260K0249,S9C-016,沪D-24503
60038,1039路,059L2792,W7B-112,沪D-82938
60038,1039路,050E0417,S7B-007,沪B-R7831
60038,1039路,059L2688,W7B-113,沪D-82936
60039,1040路,269L1574,W7B-058,沪D-66488
60040,1041路,260E0619,W7A-041,沪B-R9545
60040,1041路,260E0160,W7A-038,沪B-R9557
20024,1042路,220G0017,W7A-072,沪B-T4230
60041,1043路,269L0521,W9D-083,沪D-77856
60041,1043路,269L3042,W7C-028,沪DC5811
60041,1043路,260A0177,W7A-096,沪D-08412
60041,1043路,263L0373,K7C-048,沪B-D0841
