"XLID","SZGJFX","ZDID","ZDMC","SOURCE_LON","SOURCE_LAT"
"1","0","7A860001","羽山路苗圃路","0.000000","0.000000"
"1","0","7A850001","羽山路民生路","0.000000","0.000000"
"1","0","79840000","羽山路桃林路","0.000000","0.000000"
"1","1","79840000","羽山路桃林路","0.000000","0.000000"
"1","1","7A850000","羽山路民生路","0.000000","0.000000"
"1","1","7A860001","羽山路苗圃路","0.000000","0.000000"
"10001","0","75810004","南泉新村","0.000000","0.000000"
"10001","0","74810002","仁济东院","0.000000","0.000000"
"10001","0","757F0000","浦东南路宁阳路","0.000000","0.000000"
"10001","0","76800000","浦东南路浦电路","0.000000","0.000000"
"10001","0","777F0003","第一八佰伴","0.000000","0.000000"
"10001","0","7A7E0003","东方医院","0.000000","0.000000"
"10001","0","79790004","延安东路浙江中路","0.000000","0.000000"
"10001","0","77760003","延安中路石门一路","0.000000","0.000000"
"10001","0","77740004","延安中路陕西北路","0.000000","0.000000"
"10001","0","77710008","延安西路华山路","0.000000","0.000000"
"10001","0","76700003","延安西路镇宁路","0.000000","0.000000"
"10001","0","766F0000","江苏路延安西路","0.000000","0.000000"
"10001","0","766F0001","江苏路愚园路","0.000000","0.000000"
"10001","0","7A6D0002","曹阳路白玉路","0.000000","0.000000"
"10001","0","80690002","上海西站","0.000000","0.000000"
"10001","0","80690003","桃浦公路 ","0.000000","0.000000"
"10001","1","80680001","桃浦公路 ","0.000000","0.000000"
"10001","1","80690001","上海西站","0.000000","0.000000"
"10001","1","7C6C0001","武宁新村","0.000000","0.000000"
"10001","1","776F0000","江苏路愚园路","0.000000","0.000000"
"10001","1","766F0004","江苏路延安西路","0.000000","0.000000"
"10001","1","76700000","延安西路镇宁路","0.000000","0.000000"
"10001","1","77710007","延安西路华山路","0.000000","0.000000"
"10001","1","77730001","延安中路陕西北路","0.000000","0.000000"
"10001","1","77750001","延安中路石门一路","0.000000","0.000000"
"10001","1","79780005","延安东路浙江中路","0.000000","0.000000"
"10001","1","7A7E0001","东方医院","0.000000","0.000000"
"10001","1","777F0000","第一八佰伴","0.000000","0.000000"
"10001","1","767F0002","浦东南路浦电路","0.000000","0.000000"
"10001","1","757F0001","浦东南路宁阳路","0.000000","0.000000"
"10001","1","75810004","南泉新村","0.000000","0.000000"
"10065","0","797D0001","东昌路渡口","121.499570","31.232475"
"10065","0","7A7C0002","陆家嘴环路名商路","121.496410","31.237362"
"10065","0","7B7C0008","陆家嘴环路丰和路","121.496742","31.241407"
"10065","0","7B7E0017","银城路浦东南路","121.505110","31.243448"
"10065","0","7B7F000E","银城路日照路","121.510583","31.243902"
"10065","0","7B800015","昌邑路钱仓路","121.516388","31.243817"
"10065","0","7C82000D","昌邑路桃林路","121.527848","31.245802"
"10065","0","7C830012","昌邑路民生路","121.534293","31.247440"
"10065","0","7D84000C","昌邑路苗圃路","121.539270","31.249857"
"10065","0","7F870000","浦东大道德平路","121.552760","31.258392"
"10065","0","81890001","浦东大道金桥路","121.565230","31.267473"
"10065","0","828A0002","八号桥","121.569548","31.271165"
"10065","0","828B0002","浦东大道五莲路","121.571935","31.275498"
"10065","0","848B0001","浦东大道利津路","121.572435","31.281483"
"10065","0","858A0000","浦东大道东波路","121.571677","31.285630"
"10065","0","868A0005","东葛路东靖路","121.567517","31.292853"
"10065","0","88890001","东塘路朱家浜","121.563893","31.301425"
"10065","0","8A890000","东塘路桂家村","121.562437","31.308290"
"10065","0","8C890001","东塘路行南路","121.562428","31.317180"
"10065","0","8D890001","东塘路马路桥","121.563065","31.323202"
"10065","0","8E890001","东塘路高沙滩","121.563878","31.326557"
"10065","0","8F890001","大同路东塘路","121.565052","31.332922"
"10065","0","908A0000","大同路浦东北路","121.568268","31.337190"
"10065","0","918A0007","大同路和龙路","121.572082","31.341655"
"10065","0","928B0005","大同路石家街","121.574775","31.344083"
"10065","0","928B0000","大同路清溪路","121.573958","31.347070"
"10065","0","938B000E","花山路同港路","121.572262","31.350298"
"10065","0","938A0001","张杨北路花山路","121.568888","31.350202"
"10065","0","948B0001","港城路地铁站","121.568942","31.353563"
"10065","1","948B0001","港城路地铁站","121.569000","31.353877"
"10065","1","938A0000","张杨北路花山路","121.568682","31.350172"
"10065","1","938B0010","花山路同港路","121.571947","31.350052"
"10065","1","928B0001","大同路清溪路","121.574158","31.346553"
"10065","1","928B0003","大同路石家街","121.574955","31.344293"
"10065","1","918A0006","大同路和龙路","121.571550","31.341415"
"10065","1","908A0001","大同路浦东北路","121.567685","31.336570"
"10065","1","8F890000","大同路东塘路","121.564825","31.332908"
"10065","1","8E890000","东塘路高沙滩","121.564005","31.327055"
"10065","1","8D890000","东塘路马路桥","121.562762","31.322335"
"10065","1","8C890000","东塘路行南路","121.562205","31.317162"
"10065","1","8A890001","东塘路桂家村","121.562392","31.307575"
"10065","1","88890000","东塘路朱家浜","121.563602","31.302205"
"10065","1","868A0000","东葛路东靖路","121.567080","31.293138"
"10065","1","858A0001","浦东大道东波路","121.571310","31.286030"
"10065","1","848B0000","浦东大道利津路","121.572267","31.282048"
"10065","1","828A0000","浦东大道五莲路","121.571715","31.274733"
"10065","1","828A0001","八号桥","121.569662","31.271330"
"10065","1","8189000E","浦东大道金桥路","121.564655","31.267138"
"10065","1","7E860000","浦东大道德平路","121.550563","31.256572"
"10065","1","7C840013","昌邑路苗圃路","121.537970","31.248900"
"10065","1","7C830010","昌邑路民生路","121.533335","31.247330"
"10065","1","7C82000B","昌邑路桃林路","121.527900","31.245967"
"10065","1","7B7F000D","昌邑路钱仓路","121.513803","31.243535"
"10065","1","7B7E0015","银城路日照路","121.508933","31.244162"
"10065","1","7B7E0018","银城路浦东南路","121.505733","31.244030"
"10065","1","7B7C0004","陆家嘴环路丰和路","121.497283","31.242085"
"10065","1","7A7C0001","陆家嘴环路名商路","121.496080","31.238950"
"10065","1","797D0001","东昌路渡口","121.499632","31.232220"
"10066","0","7A7B0000","陆家嘴","121.492938","31.238477"
"10066","0","7B7C0008","陆家嘴环路丰和路","121.496954","31.241597"
"10066","0","7A7E0012","浦东南路浦东大道","121.506651","31.239110"
"10066","0","797F0004","浦东南路商城路","121.510419","31.232834"
"10066","0","777F0000","浦东南路潍坊路","121.513790","31.223828"
"10066","0","767F0002","浦东南路浦电路","121.514365","31.221603"
"10066","0","757F0001","浦东南路宁阳路","121.513765","31.214343"
"10066","0","747F0001","浦东南路浦建路","121.512156","31.212041"
"10066","0","727E0004","浦东南路浦三路","121.507230","31.201496"
"10066","0","707D0019","浦东南路华丰路","121.501846","31.193708"
"10066","0","6F7C0000","浦东南路高科西路（上海长途东站）","121.496921","31.185556"
"10066","0","6E7C0000","浦东南路洪山路","121.494894","31.183256"
"10066","0","6E7B0018","雪野路上南路","121.490915","31.183969"
"10066","0","6D7A0001","耀华路历城路","121.486351","31.179875"
"10066","0","6C790001","耀华路长清路","121.481593","31.176832"
"10066","0","6C780021","耀华路济阳路","121.475182","31.173413"
"10066","0","6C770020","通耀路耀龙路","121.467858","31.174999"
"10066","1","6C770020","通耀路耀龙路","121.468480","31.174677"
"10066","1","6C780020","耀华路济阳路","121.476117","31.173547"
"10066","1","6C790003","耀华路西营路","121.480036","31.175610"
"10066","1","6D7A000D","耀华路长清路","121.483879","31.177885"
"10066","1","6E7B0019","雪野路上南路","121.490479","31.183450"
"10066","1","6E7C0001","浦东南路洪山路","121.494341","31.182175"
"10066","1","6F7C0001","浦东南路高科西路（上海长途东站）","121.497113","31.185200"
"10066","1","717D0002","浦东南路华丰路","121.502789","31.194961"
"10066","1","727E0005","浦东南路浦三路","121.505450","31.198796"
"10066","1","757F0000","浦东南路宁阳路","121.514224","31.214517"
"10066","1","76800000","浦东南路浦电路","121.514430","31.222390"
"10066","1","797F0003","浦东南路商城路","121.510095","31.233145"
"10066","1","7A7E0002","浦东南路浦东大道","121.507344","31.238599"
"10066","1","7B7C0004","陆家嘴环路丰和路","121.497108","31.242240"
"10066","1","7A7B0000","陆家嘴","121.492753","31.238322"
"10067","0","6A830002","三林世博家园","121.532577","31.164497"
"10067","0","6B830000","东书房路板泉路","121.531092","31.167718"
"10067","0","6B820002","板泉路东书房路","121.527647","31.169230"
"10067","0","6A820007","高青路浦三路","121.526065","31.163796"
"10067","0","69810002","高青路杨高南路","121.520605","31.162298"
"10067","0","69800015","高青路东明路","121.516439","31.161221"
"10067","0","697F0017","东明路海阳路","121.511347","31.161158"
"10067","0","697E0003","海阳路云台路","121.504253","31.161335"
"10067","0","697D0003","海阳路洪山路","121.501583","31.160718"
"10067","0","697D001C","洪山路海阳路","121.499407","31.161638"
"10067","0","6A7B0002","上南路杨思路","121.493415","31.163397"
"10067","0","6B7B0002","上南路德州路","121.492258","31.172283"
"10067","0","6C7B0000","上南路昌里路","121.491384","31.175113"
"10067","0","6D7B0004","上南路浦东南路","121.490633","31.179003"
"10067","0","6E7B0019","雪野路上南路","121.490507","31.183418"
"10067","1","6E7B0019","雪野路上南路","121.490576","31.183380"
"10067","1","6D7B0001","上南路浦东南路","121.490218","31.179432"
"10067","1","6C7B0004","上南路昌里路","121.490904","31.175631"
"10067","1","6B7B0004","上南路德州路","121.491886","31.172044"
"10067","1","6A7B0001","上南路杨思路","121.493086","31.163195"
"10067","1","697D0018","洪山路海阳路","121.499669","31.160625"
"10067","1","697E0004","海阳路云台路","121.504040","31.161060"
"10067","1","697F0018","东明路海阳路","121.510547","31.162188"
"10067","1","69800016","高青路东明路","121.513477","31.160254"
"10067","1","69810003","高青路杨高南路","121.521561","31.162151"
"10067","1","6A820005","高青路浦三路","121.526426","31.163500"
"10067","1","6B820001","板泉路东书房路","121.527994","31.169151"
"10067","1","6B820000","东书房路板泉路","121.530875","31.167585"
"10067","1","6A830002","三林世博家园","121.532577","31.164497"
"10068","0","66810004","永泰路东明路","121.523477","31.144927"
"10068","0","65810000","永泰路泰环路","121.520231","31.144696"
"10068","0","65800004","春延路环林西路","121.517697","31.142130"
"10068","0","65800005","聚华路春延路","121.516712","31.140926"
"10068","0","64810000","南林路品柿路","121.519966","31.140619"
"10068","0","65820000","环林东路银环路","121.524908","31.142892"
"10068","0","66820005","环林东路永泰路","121.524627","31.147527"
"10068","0","67810000","尚博路环林东路","121.520469","31.152844"
"10068","0","67800000","尚博路东明路","121.517583","31.152020"
"10068","0","66800003","三林路环林西路","121.516974","31.148339"
"10068","0","66800000","环林西路三林路","121.516524","31.145155"
